"","State","black_pop","state_pop","perc.black"
"1","Alabama",1270051.114,4830620,26.2916792047398
"2","Alaska",23742.71,733375,3.23745832623146
"3","Arizona",264085.553,6641928,3.97603757523418
"4","Arkansas",456747.22,2958208,15.4399967818355
"5","California",2160784.69,38421464,5.6238999378056
"6","Colorado",203195.899,5278906,3.84920472158436
"7","Connecticut",346220.616,3593222,9.63538061383349
"8","Delaware",195079.628,926454,21.0565908291183
"9","District of Columbia",310677.888,647484,47.9823266675316
"10","Florida",3035694.463,19645772,15.4521515519981
"11","Georgia",3054363.526,10006693,30.5232060781719
"12","Hawaii",26687.786,1406299,1.89773199013865
"13","Idaho",9334.93,1616547,0.577461094542874
"14","Illinois",1818970.839,12873761,14.1292885505642
"15","Indiana",594302.813,6568645,9.04757089171359
"16","Iowa",95658.338,3093526,3.09221057136743
"17","Kansas",164023.351,2892987,5.66968849151413
"18","Kentucky",342282.576,4397353,7.78383213719708
"19","Louisiana",1474339.867,4625253,31.8758750494297
"20","Maine",14448.568,1329100,1.0870941238432
"21","Maryland",1723260.87,5930538,29.0574121605831
"22","Massachusetts",434447.826,6705586,6.47889425323902
"23","Michigan",1366620.079,9900571,13.8034470840116
"24","Minnesota",293775.715,5419171,5.42104530379278
"25","Mississippi",1112521.992,2988081,37.2319890926652
"26","Missouri",691574.092,6045448,11.4395838323314
"27","Montana",4545.552,1014699,0.447970481886747
"28","Nebraska",85746.995,1869365,4.58695840566182
"29","Nevada",225748.347,2798636,8.06637043902816
"30","New Hampshire",15467.482,1324201,1.16806149519597
"31","New Jersey",1132553.413,8904413,12.7190126176762
"32","New Mexico",38101.833,2084117,1.8282002881796
"33","New York",2831744.455,19673174,14.3939379329436
"34","North Carolina",2084180.881,9845333,21.1692268915637
"35","North Dakota",11563.755,721640,1.60242711047059
"36","Ohio",1393512.173,11575977,12.0379659790271
"37","Oklahoma",274179.13,3849733,7.1220297615445
"38","Oregon",69096.82,3939233,1.75406786041851
"39","Pennsylvania",1346897.006,12779559,10.5394638891686
"40","Puerto Rico",2811.762,3583073,0.0784734779336062
"41","Rhode Island",56253.22,1053661,5.33883478652052
"42","South Carolina",1304468.241,4777576,27.3039767656234
"43","South Dakota",12786.756,843190,1.51647386709994
"44","Tennessee",1083650.195,6499615,16.6725289882555
"45","Texas",3070659.597,26538614,11.5705349081154
"46","Utah",29496.56,2903379,1.01593901450689
"47","Vermont",6732.72,626604,1.07447766053201
"48","Virginia",1560315.403,8256630,18.89772707509
"49","Washington",243865.147,6985464,3.49103720239629
"50","West Virginia",60359.27,1851420,3.26016084951011
"51","Wisconsin",354316.835,5742117,6.17049138845482
"52","Wyoming",5962.919,579679,1.02865879219361
